
SetupTitle, Gate Sweep Ext
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.XAxis.Data, GateV
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, -80
TestParameter, Output.Graph.XAxis.Right, 80
TestParameter, Output.Graph.YAxis.Data, DrainI, GateI
TestParameter, Output.Graph.YAxis.Scale, Linear, Linear
TestParameter, Output.Graph.YAxis.Bottom, -1E-05, -1E-08
TestParameter, Output.Graph.YAxis.Top, 1E-05, 1E-08
TestParameter, Output.Graph.YAxis.Group, , 
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 12/04/2022 08:45:32
MetaData, TestRecord.TestTarget, 00_02
MetaData, TestRecord.IterationIndex, 1
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 40df0c27-d77e-4b6a-be2d-d0b9b7351411
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, GateV
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -80
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 80
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, DrainI, GateI
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, -1E-05, -1E-08
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 1E-05, 1E-08
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, Gate Sweep Ext
Dimension1, 801, 801, 801
Dimension2, 1, 1, 1
DataName, GateV, DrainI, GateI
DataValue, -80, 1.9072E-07, -3.80028E-10
DataValue, -79.8, 1.853E-07, -2.07144E-10
DataValue, -79.600000000000009, 1.8824E-07, -1.4341E-10
DataValue, -79.4, 1.8758E-07, -1.15502E-10
DataValue, -79.2, 1.8848E-07, -8.7820000000000013E-11
DataValue, -79, 1.8866E-07, -7.5842000000000011E-11
DataValue, -78.8, 1.7802E-07, -6.6294000000000007E-11
DataValue, -78.600000000000009, 1.9154E-07, -5.3916000000000004E-11
DataValue, -78.4, 1.8022E-07, -4.7144000000000007E-11
DataValue, -78.2, 1.79E-07, -4.4336000000000003E-11
DataValue, -78, 1.7914E-07, -3.132E-11
DataValue, -77.8, 1.8336E-07, -2.9854E-11
DataValue, -77.600000000000009, 1.8577999999999999E-07, -2.5798000000000003E-11
DataValue, -77.4, 1.8184E-07, -2.7900000000000002E-11
DataValue, -77.2, 1.7498E-07, -2.8614E-11
DataValue, -77, 1.762E-07, -2.3306000000000003E-11
DataValue, -76.8, 1.767E-07, -2.9672000000000004E-11
DataValue, -76.600000000000009, 1.7932E-07, -2.3E-11
DataValue, -76.4, 1.8038E-07, -2.3682E-11
DataValue, -76.2, 1.8292E-07, -2.2336000000000002E-11
DataValue, -76, 1.8274E-07, -1.53E-11
DataValue, -75.8, 1.8022E-07, -2.0152E-11
DataValue, -75.600000000000009, 1.7564E-07, -1.5998000000000002E-11
DataValue, -75.4, 1.8224E-07, -2.3938000000000002E-11
DataValue, -75.2, 1.8236E-07, -1.8822E-11
DataValue, -75, 1.7865999999999999E-07, -1.4898E-11
DataValue, -74.8, 1.776E-07, -2.0486000000000003E-11
DataValue, -74.600000000000009, 1.8284E-07, -1.3284E-11
DataValue, -74.4, 1.8346E-07, -1.2656000000000001E-11
DataValue, -74.2, 1.8047999999999999E-07, -1.3102000000000001E-11
DataValue, -74, 1.7879999999999999E-07, -9.098E-12
DataValue, -73.8, 1.8392E-07, -6.9980000000000007E-12
DataValue, -73.600000000000009, 1.9294E-07, -7.1740000000000007E-12
DataValue, -73.4, 1.8696E-07, -3.0980000000000003E-12
DataValue, -73.2, 1.9078E-07, -1.231E-11
DataValue, -73, 1.8668E-07, -4.512E-12
DataValue, -72.8, 1.9182E-07, -1.0214000000000002E-11
DataValue, -72.600000000000009, 1.8794E-07, -6.5540000000000005E-12
DataValue, -72.4, 1.838E-07, -8.026E-12
DataValue, -72.2, 1.9376E-07, -1.0602E-11
DataValue, -72, 1.9123999999999998E-07, -8.988E-12
DataValue, -71.8, 1.8362E-07, -3.1200000000000003E-13
DataValue, -71.600000000000009, 1.7872E-07, -7.5E-12
DataValue, -71.4, 1.7648E-07, -1.3854000000000001E-11
DataValue, -71.2, 1.7688E-07, -6.032E-12
DataValue, -71, 1.7248E-07, -5.516E-12
DataValue, -70.8, 1.762E-07, -1.3648000000000002E-11
DataValue, -70.600000000000009, 1.767E-07, -7.65E-12
DataValue, -70.4, 1.8228E-07, -2.8380000000000002E-12
DataValue, -70.2, 1.7898E-07, -6.058E-12
DataValue, -70, 1.753E-07, -4.438E-12
DataValue, -69.8, 1.717E-07, -4.3760000000000007E-12
DataValue, -69.600000000000009, 1.7024E-07, 1.0520000000000002E-12
DataValue, -69.4, 1.746E-07, -3.4500000000000004E-12
DataValue, -69.2, 1.7447999999999999E-07, 1.2420000000000002E-12
DataValue, -69, 1.7576E-07, -1.6660000000000002E-12
DataValue, -68.8, 1.695E-07, 1.128E-12
DataValue, -68.600000000000009, 1.7736E-07, -2.8680000000000003E-12
DataValue, -68.4, 1.7396E-07, -3.846E-12
DataValue, -68.2, 1.7488E-07, -3.0520000000000003E-12
DataValue, -68, 1.7044E-07, -5.2580000000000004E-12
DataValue, -67.8, 1.7851999999999999E-07, -2.36E-13
DataValue, -67.6, 1.8256E-07, -2.026E-12
DataValue, -67.4, 1.8778E-07, -2.9600000000000003E-12
DataValue, -67.2, 1.7736E-07, -2.2600000000000002E-13
DataValue, -67, 1.8334E-07, -6.626E-12
DataValue, -66.8, 1.7377999999999999E-07, -4.2320000000000005E-12
DataValue, -66.6, 1.7486E-07, 1.36E-13
DataValue, -66.4, 1.7442E-07, 2.954E-12
DataValue, -66.2, 1.7128E-07, 8.72E-13
DataValue, -66, 1.6902E-07, -9.5E-13
DataValue, -65.8, 1.7405999999999999E-07, 4.328E-12
DataValue, -65.6, 1.843E-07, 3.5240000000000003E-12
DataValue, -65.4, 1.7048E-07, 1.5700000000000002E-12
DataValue, -65.2, 1.7478E-07, 5.432E-12
DataValue, -65, 1.7069999999999999E-07, 4.7260000000000007E-12
DataValue, -64.8, 1.6584E-07, -3.4600000000000004E-13
DataValue, -64.6, 1.6754E-07, 7.2000000000000009E-14
DataValue, -64.4, 1.8064E-07, -1.0640000000000001E-12
DataValue, -64.2, 1.8605999999999999E-07, -8.44E-13
DataValue, -64, 1.8394E-07, 1.9820000000000002E-12
DataValue, -63.800000000000004, 1.8818E-07, -8.1400000000000007E-13
DataValue, -63.6, 1.6926E-07, 2E-15
DataValue, -63.4, 1.7006E-07, -3.5400000000000003E-12
DataValue, -63.2, 1.7272E-07, 5.0600000000000007E-13
DataValue, -63, 1.7234E-07, -2.694E-12
DataValue, -62.800000000000004, 1.7078E-07, -3.4400000000000005E-13
DataValue, -62.6, 1.8916E-07, 2.38E-13
DataValue, -62.4, 1.8481999999999998E-07, 6.1120000000000006E-12
DataValue, -62.2, 1.7848E-07, -2.1000000000000003E-12
DataValue, -62, 1.8089999999999999E-07, 3.3820000000000003E-12
DataValue, -61.800000000000004, 1.7016E-07, 7.8540000000000011E-12
DataValue, -61.6, 1.737E-07, 3.522E-12
DataValue, -61.4, 1.7082E-07, 2.198E-12
DataValue, -61.2, 1.6314E-07, 2.8420000000000002E-12
DataValue, -61, 1.6214E-07, -3.2000000000000005E-13
DataValue, -60.800000000000004, 1.7586E-07, -1.944E-12
DataValue, -60.6, 1.7492E-07, 3.2200000000000004E-13
DataValue, -60.4, 1.7604E-07, -2.44E-13
DataValue, -60.2, 1.6866E-07, 1.688E-12
DataValue, -60, 1.7226E-07, -2.3160000000000002E-12
DataValue, -59.800000000000004, 1.7386E-07, 1.3780000000000002E-12
DataValue, -59.6, 1.782E-07, 1.2800000000000002E-12
DataValue, -59.4, 1.7018E-07, 1.7400000000000002E-13
DataValue, -59.2, 1.7237999999999999E-07, -7.8600000000000008E-13
DataValue, -59, 1.731E-07, -1.9900000000000002E-12
DataValue, -58.800000000000004, 1.7568E-07, 4.4200000000000004E-13
DataValue, -58.6, 1.7526E-07, 1.1040000000000001E-12
DataValue, -58.4, 1.6042E-07, 2.724E-12
DataValue, -58.2, 1.7118E-07, 1.0120000000000001E-12
DataValue, -58, 1.6294E-07, 2.9260000000000003E-12
DataValue, -57.800000000000004, 1.6856E-07, 1.13E-12
DataValue, -57.6, 1.5939999999999999E-07, 1.7120000000000002E-12
DataValue, -57.4, 1.5466E-07, 5.1280000000000008E-12
DataValue, -57.2, 1.648E-07, 5.7120000000000007E-12
DataValue, -57, 1.664E-07, -4.8400000000000006E-13
DataValue, -56.800000000000004, 1.5432E-07, -2.862E-12
DataValue, -56.6, 1.7517999999999998E-07, 3.3440000000000003E-12
DataValue, -56.4, 1.6894E-07, 2.2600000000000002E-13
DataValue, -56.2, 1.6824E-07, -1.498E-12
DataValue, -56, 1.697E-07, -1.0400000000000001E-13
DataValue, -55.800000000000004, 1.7148E-07, -5.2E-13
DataValue, -55.6, 1.7544E-07, 2.16E-12
DataValue, -55.4, 1.6994E-07, 1.2060000000000001E-12
DataValue, -55.2, 1.716E-07, 2.566E-12
DataValue, -55, 1.7377999999999999E-07, 4.314E-12
DataValue, -54.800000000000004, 1.7414E-07, -3.1E-12
DataValue, -54.6, 1.7366E-07, -1.1440000000000002E-12
DataValue, -54.4, 1.7156E-07, 2.206E-12
DataValue, -54.2, 1.7774E-07, 4.564E-12
DataValue, -54, 1.7178E-07, 5.6620000000000007E-12
DataValue, -53.800000000000004, 1.7404E-07, 4.28E-12
DataValue, -53.6, 1.7522E-07, 8.236E-12
DataValue, -53.4, 1.6622E-07, 1.0336000000000001E-11
DataValue, -53.2, 1.6556E-07, 5.3440000000000007E-12
DataValue, -53, 1.7102E-07, 6.5040000000000006E-12
DataValue, -52.800000000000004, 1.8764E-07, 5.1340000000000005E-12
DataValue, -52.6, 1.9108E-07, 2.3840000000000003E-12
DataValue, -52.4, 1.7914E-07, 4.9600000000000007E-12
DataValue, -52.2, 1.8678E-07, 6.34E-13
DataValue, -52, 1.8382E-07, -1.9620000000000003E-12
DataValue, -51.800000000000004, 1.873E-07, -5.0200000000000008E-13
DataValue, -51.6, 1.9044E-07, 1.946E-12
DataValue, -51.4, 1.8074E-07, -1.5720000000000002E-12
DataValue, -51.2, 1.767E-07, 3.926E-12
DataValue, -51, 1.5126E-07, 3.2360000000000003E-12
DataValue, -50.800000000000004, 1.6782E-07, 2.138E-12
DataValue, -50.6, 1.6566E-07, 5.892E-12
DataValue, -50.4, 1.6276E-07, 4.5800000000000007E-13
DataValue, -50.2, 1.645E-07, 4.144E-12
DataValue, -50, 1.6176E-07, 7.284E-12
DataValue, -49.800000000000004, 1.6242E-07, 6.176E-12
DataValue, -49.6, 1.5804E-07, 3.7720000000000005E-12
DataValue, -49.4, 1.6144E-07, 6.2140000000000008E-12
DataValue, -49.2, 1.605E-07, 4.326E-12
DataValue, -49, 1.605E-07, 7.686000000000001E-12
DataValue, -48.800000000000004, 1.6158E-07, 5.02E-12
DataValue, -48.6, 1.5714E-07, 2.3840000000000003E-12
DataValue, -48.4, 1.595E-07, 2.6960000000000002E-12
DataValue, -48.2, 1.5218E-07, 2.8E-13
DataValue, -48, 1.627E-07, 2.5040000000000002E-12
DataValue, -47.800000000000004, 1.605E-07, 3.254E-12
DataValue, -47.6, 1.6026E-07, 3.5E-13
DataValue, -47.4, 1.5269999999999998E-07, -1.6340000000000001E-12
DataValue, -47.2, 1.551E-07, 2.0400000000000001E-13
DataValue, -47, 1.567E-07, 3.994E-12
DataValue, -46.800000000000004, 1.7962E-07, 5.698E-12
DataValue, -46.6, 1.6805999999999998E-07, 1.1994E-11
DataValue, -46.4, 1.6973999999999998E-07, 4.104E-12
DataValue, -46.2, 1.7752E-07, 1.0616000000000001E-11
DataValue, -46, 1.7796E-07, 4.1400000000000005E-12
DataValue, -45.800000000000004, 1.8548E-07, 9.43E-12
DataValue, -45.6, 1.8422E-07, 7.0760000000000009E-12
DataValue, -45.4, 1.8274E-07, 8.682E-12
DataValue, -45.2, 1.7321999999999999E-07, 7.112E-12
DataValue, -45, 1.895E-07, 4.46E-13
DataValue, -44.800000000000004, 1.8308E-07, 3.3160000000000004E-12
DataValue, -44.6, 1.7542E-07, -5.4E-13
DataValue, -44.4, 1.7676E-07, 1.2960000000000001E-12
DataValue, -44.2, 1.7114E-07, 4.896E-12
DataValue, -44, 1.8106E-07, 8.070000000000001E-12
DataValue, -43.800000000000004, 1.7879999999999999E-07, 2.326E-12
DataValue, -43.6, 1.8184E-07, 3.7E-12
DataValue, -43.4, 1.9636E-07, 4.5740000000000005E-12
DataValue, -43.2, 1.7012E-07, 2.7800000000000003E-13
DataValue, -43, 1.6342E-07, 4.138E-12
DataValue, -42.800000000000004, 1.6889999999999998E-07, 4.578E-12
DataValue, -42.6, 1.6276E-07, 4.8320000000000004E-12
DataValue, -42.4, 1.637E-07, 3.276E-12
DataValue, -42.2, 1.5886E-07, 6.3280000000000005E-12
DataValue, -42, 1.723E-07, 8.254000000000001E-12
DataValue, -41.800000000000004, 1.8033999999999999E-07, 8.656E-12
DataValue, -41.6, 1.7034E-07, 5.162E-12
DataValue, -41.4, 1.7002E-07, 5.206E-12
DataValue, -41.2, 1.8284E-07, 4.27E-12
DataValue, -41, 1.791E-07, 7.482E-12
DataValue, -40.800000000000004, 1.7114E-07, 1.0120000000000001E-12
DataValue, -40.6, 1.7044E-07, 2.52E-12
DataValue, -40.4, 1.6074E-07, 4.92E-13
DataValue, -40.2, 1.6248E-07, -1.3340000000000002E-12
DataValue, -40, 1.6332E-07, 4.052E-12
DataValue, -39.800000000000004, 1.6506E-07, 2.506E-12
DataValue, -39.6, 1.6452E-07, 2.0960000000000004E-12
DataValue, -39.4, 1.5743999999999999E-07, 5.524E-12
DataValue, -39.2, 1.5852E-07, -1.7220000000000001E-12
DataValue, -39, 1.604E-07, 9.36E-13
DataValue, -38.800000000000004, 1.5776E-07, 3.2860000000000003E-12
DataValue, -38.6, 1.6086E-07, 5.062E-12
DataValue, -38.4, 1.6623999999999999E-07, 5.6680000000000005E-12
DataValue, -38.2, 1.6107999999999998E-07, 5.558E-12
DataValue, -38, 1.6078E-07, 5.396E-12
DataValue, -37.800000000000004, 1.5852E-07, 9.512E-12
DataValue, -37.6, 1.6166E-07, 2.97E-12
